,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,learning_rate,criterion,ID
36,1973,550,77.0,66.0,log2,54.0,0.01,friedman_mse,GBC-0037
37,1973,500,65.0,66.0,log2,97.0,0.06999999999999999,friedman_mse,GBC-0038
38,1973,200,41.0,93.0,sqrt,8.0,0.03,friedman_mse,GBC-0039
39,1973,550,80.0,36.0,log2,61.0,0.03,friedman_mse,GBC-0040
40,1973,550,42.0,93.0,sqrt,52.0,0.05,friedman_mse,GBC-0041
41,1973,350,49.0,35.0,log2,54.0,0.02,friedman_mse,GBC-0042
42,1973,200,99.0,21.0,log2,46.0,0.04,friedman_mse,GBC-0043
43,1973,300,67.0,61.0,log2,24.0,0.060000000000000005,friedman_mse,GBC-0044
44,1973,200,50.0,31.0,sqrt,97.0,0.02,friedman_mse,GBC-0045
45,1973,200,46.0,26.0,sqrt,59.0,0.06999999999999999,friedman_mse,GBC-0046
46,1973,150,51.0,49.0,sqrt,5.0,0.04,friedman_mse,GBC-0047
47,1973,550,21.0,57.0,sqrt,15.0,0.09,friedman_mse,GBC-0048
48,1973,200,90.0,47.0,log2,,0.02,friedman_mse,GBC-0049
49,1973,450,73.0,62.0,log2,3.0,0.06999999999999999,friedman_mse,GBC-0050
50,1973,350,92.0,21.0,sqrt,54.0,0.08,friedman_mse,GBC-0051
51,1973,100,82.0,52.0,sqrt,75.0,0.09,friedman_mse,GBC-0052
52,1973,500,39.0,21.0,log2,42.0,0.06999999999999999,friedman_mse,GBC-0053
53,1973,250,67.0,42.0,sqrt,49.0,0.01,friedman_mse,GBC-0054
54,1973,100,27.0,39.0,log2,86.0,0.060000000000000005,friedman_mse,GBC-0055
55,1973,250,87.0,46.0,log2,35.0,0.03,friedman_mse,GBC-0056
56,1973,400,38.0,48.0,log2,59.0,0.06999999999999999,friedman_mse,GBC-0057
57,1973,150,90.0,96.0,sqrt,50.0,0.06999999999999999,friedman_mse,GBC-0058
58,1973,500,43.0,21.0,log2,60.0,0.060000000000000005,friedman_mse,GBC-0059
59,1973,550,42.0,19.0,sqrt,3.0,0.02,friedman_mse,GBC-0060
60,1973,550,4.0,89.0,sqrt,63.0,0.05,friedman_mse,GBC-0061
61,1973,450,18.0,28.0,sqrt,25.0,0.04,friedman_mse,GBC-0062
62,1973,450,12.0,68.0,log2,80.0,0.02,friedman_mse,GBC-0063
63,1973,100,21.0,99.0,sqrt,13.0,0.09,friedman_mse,GBC-0064
64,1973,250,38.0,2.0,log2,91.0,0.01,friedman_mse,GBC-0065
65,1973,300,64.0,14.0,sqrt,11.0,0.060000000000000005,friedman_mse,GBC-0066
66,1973,350,68.0,54.0,sqrt,24.0,0.06999999999999999,friedman_mse,GBC-0067
67,1973,250,82.0,19.0,sqrt,34.0,0.05,friedman_mse,GBC-0068
68,1973,200,58.0,31.0,sqrt,10.0,0.06999999999999999,friedman_mse,GBC-0069
69,1973,200,17.0,98.0,log2,87.0,0.06999999999999999,friedman_mse,GBC-0070
70,1973,550,67.0,34.0,log2,74.0,0.01,friedman_mse,GBC-0071
71,1973,550,16.0,98.0,log2,41.0,0.060000000000000005,friedman_mse,GBC-0072
72,1973,100,49.0,16.0,log2,96.0,0.01,friedman_mse,GBC-0073
73,1973,350,64.0,84.0,log2,22.0,0.04,friedman_mse,GBC-0074
74,1973,500,59.0,68.0,sqrt,91.0,0.06999999999999999,friedman_mse,GBC-0075
75,1973,450,98.0,33.0,sqrt,5.0,0.06999999999999999,friedman_mse,GBC-0076
76,1973,500,69.0,33.0,log2,31.0,0.02,friedman_mse,GBC-0077
77,1973,500,70.0,26.0,sqrt,20.0,0.08,friedman_mse,GBC-0078
78,1973,350,37.0,96.0,sqrt,46.0,0.04,friedman_mse,GBC-0079
79,1973,350,3.0,50.0,sqrt,89.0,0.06999999999999999,friedman_mse,GBC-0080
80,1973,300,57.0,90.0,log2,38.0,0.04,friedman_mse,GBC-0081
81,1973,300,97.0,27.0,log2,33.0,0.01,friedman_mse,GBC-0082
82,1973,250,3.0,26.0,log2,96.0,0.09,friedman_mse,GBC-0083
83,1973,550,28.0,78.0,log2,28.0,0.09,friedman_mse,GBC-0084
84,1973,450,95.0,39.0,sqrt,64.0,0.06999999999999999,friedman_mse,GBC-0085
85,1973,200,90.0,51.0,sqrt,54.0,0.02,friedman_mse,GBC-0086
86,1973,400,47.0,55.0,log2,47.0,0.09,friedman_mse,GBC-0087
87,1973,400,91.0,25.0,log2,80.0,0.06999999999999999,friedman_mse,GBC-0088
88,1973,450,27.0,43.0,sqrt,26.0,0.01,friedman_mse,GBC-0089
89,1973,350,11.0,18.0,sqrt,83.0,0.03,friedman_mse,GBC-0090
90,1973,400,87.0,79.0,sqrt,14.0,0.04,friedman_mse,GBC-0091
91,1973,300,25.0,74.0,sqrt,62.0,0.05,friedman_mse,GBC-0092
92,1973,250,61.0,5.0,sqrt,86.0,0.03,friedman_mse,GBC-0093
93,1973,300,15.0,4.0,sqrt,74.0,0.01,friedman_mse,GBC-0094
94,1973,250,88.0,92.0,log2,69.0,0.060000000000000005,friedman_mse,GBC-0095
95,1973,200,38.0,87.0,sqrt,96.0,0.04,friedman_mse,GBC-0096
96,1973,500,46.0,52.0,sqrt,29.0,0.08,friedman_mse,GBC-0097
97,1973,150,91.0,64.0,sqrt,86.0,0.03,friedman_mse,GBC-0098
98,1973,200,70.0,51.0,log2,61.0,0.060000000000000005,friedman_mse,GBC-0099
99,1973,350,27.0,30.0,log2,21.0,0.01,friedman_mse,GBC-0100
